source_category,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
,285,0.085409,0.084826,0.084778,192,0.673684,0.072426,0.691228,285,0.094076,0.600000,135,0.294690,0.145455,55,0,5,0,0,155.950877,127.445614
old_selection_same_batch,154,0.023565,0.022867,0.022867,126,0.818182,0.035655,0.850649,154,0.015983,0.947826,115,0.000000,1.000000,1,0,0,0,0,12.305195,12.279221
old_print_full_page_yi_han,65,0.049675,0.050867,0.049664,0,0.000000,0.060226,0.203125,64,0.043827,0.030769,65,0.330595,0.533333,60,0,0,1,0,283.630769,283.030769
real_handwriting,53,0.124483,0.132436,0.132436,7,0.132075,0.147964,0.132075,53,1.000000,0.000000,2,1.000000,0.000000,1,0,0,0,0,42.679245,42.905660
old_luoe_reference,45,0.038999,0.037765,0.035913,37,0.822222,0.023704,0.911111,45,0.000000,1.000000,6,0.481481,0.444444,9,0,1,0,0,7.555556,7.488889
novel_plain_yi,34,0.040725,0.038624,0.036641,26,0.764706,0.033565,0.823529,34,,,0,0.117647,0.882353,17,0,0,0,0,20.411765,20.647059
dictionary_latin_phonetic_special,30,0.050326,0.043592,0.043592,18,0.600000,0.066259,0.733333,30,0.026316,0.947368,19,0.666667,0.333333,3,0,0,0,0,14.000000,14.066667
grammar_mixed_special,30,0.011360,0.009509,0.011706,26,0.866667,0.004762,0.966667,30,0.003448,0.965517,29,0.000000,1.000000,27,0,0,0,0,16.566667,16.600000
real_screen_photo,23,0.148406,0.146700,0.146783,1,0.043478,0.091854,0.043478,23,0.079097,0.400000,15,0.233333,0.666667,12,0,0,0,1,359.391304,300.956522
book_cover,16,0.337881,0.335625,0.335625,1,0.062500,0.436364,0.125000,16,0.115780,0.357143,14,,,0,0,0,0,0,62.625000,44.562500
real_screen_photo_nonbook,11,0.129253,0.128439,0.131766,2,0.181818,0.128760,0.181818,11,0.040168,0.600000,5,,,0,0,0,0,0,215.636364,194.181818
real_photo_sign,7,0.000000,0.000000,0.000000,7,1.000000,0.000000,1.000000,7,0.000000,1.000000,7,,,0,0,0,0,0,22.142857,22.142857
real_photo,3,0.041667,0.043478,0.043478,2,0.666667,0.052632,0.666667,3,0.000000,1.000000,1,,,0,0,0,0,0,14.333333,14.333333
modern_yi_han_mixed,1,0.000000,0.000000,0.000000,1,1.000000,0.000000,1.000000,1,,,0,,,0,0,0,0,0,8.000000,8.000000
real_scene_sign,1,0.000000,0.000000,0.000000,1,1.000000,0.000000,1.000000,1,0.000000,1.000000,1,,,0,0,0,0,0,34.000000,34.000000
